talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
144,The Web's secret stories,Jonathan Harris,2007-03-03,2007-07-08,TED2007,1016,1191930,35000
143,Flip your thinking on AIDS in Africa,Emily Oster,2007-03-03,2007-07-12,TED2007,921,953505,28000
148,The  4 a.m. mystery,Rives,2007-03-03,2007-07-17,TED2007,532,4351623,130000
146,"Spore, birth of a game",Will Wright,2007-03-03,2007-07-17,TED2007,983,1444655,43000
147,Visualizing the wonder of a living cell,David Bolinsky,2007-03-03,2007-07-22,TED2007,572,2336557,70000
149,How to get (a new) hip,Allison Hunt,2007-03-03,2007-07-24,TED2007,275,651515,19000
151,Africa's cheetahs versus hippos,George Ayittey,2007-06-05,2007-07-30,TEDGlobal 2007,1055,799242,23000
152,Aid versus trade,Ngozi Okonjo-Iweala,2007-06-07,2007-07-31,TEDGlobal 2007,1316,716783,21000
153,How I built a windmill,William Kamkwamba,2007-06-05,2007-07-31,TEDGlobal 2007,238,3662156,109000
154,Why invest in Africa,Euvin Naidoo,2007-06-04,2007-07-31,TEDGlobal 2007,1127,538159,16000
156,How to educate leaders? Liberal arts,Patrick Awuah,2007-06-06,2007-08-03,TEDGlobal 2007,1036,1983340,59000
155,Telling stories from Africa,Chris Abani,2007-06-06,2007-08-09,TEDGlobal 2007,1043,783140,23000
157,Patient capitalism,Jacqueline Novogratz,2007-06-05,2007-08-12,TEDGlobal 2007,1089,1588698,47000
158,"""Thula Mama""",Vusi Mahlasela,2007-06-07,2007-08-15,TEDGlobal 2007,592,740764,22000
169,"""Woza""",Vusi Mahlasela,2007-06-08,2007-08-21,TEDGlobal 2007,286,611061,18000
170,My journey into movies that matter,Jeff Skoll,2007-03-03,2007-08-21,TED2007,920,859338,25000
82,"Luke, a new prosthetic arm for soldiers",Dean Kamen,2007-03-09,2007-08-28,TED2007,295,1930955,57000
161,The joy of lexicography,Erin McKean,2007-03-03,2007-08-30,TED2007,937,1412326,42000
159,Aid for Africa? No thanks.,Andrew Mwenda,2007-06-06,2007-09-04,TEDGlobal 2007,1014,1390806,41000
162,"My creations, a new form of life",Theo Jansen,2007-03-03,2007-09-06,TED2007,479,5483641,164000
164,What our language habits reveal,Steven Pinker,2005-07-07,2007-09-09,TEDGlobal 2005,1035,2670990,80000
163,The surprising decline in violence,Steven Pinker,2007-03-03,2007-09-10,TED2007,1141,3443826,103000
171,An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,2007-03-03,2007-09-13,TED2007,1043,595987,17000
168,The search for humanity's roots,Zeresenay Alemseged,2007-06-07,2007-09-18,TEDGlobal 2007,937,1216875,36000
172,Designing for simplicity,John Maeda,2007-03-03,2007-09-20,TED2007,945,1599584,47000
167,10 ways the world could end,Stephen Petranek,2002-02-02,2007-09-25,TED2002,1768,1991951,59000
176,A flight on solar wings,Paul MacCready,2003-02-02,2007-09-26,TED2003,1266,888866,26000
178,This is Saturn,Carolyn Porco,2007-03-03,2007-10-01,TED2007,1015,3120927,93000
179,My magic moves,Kenichi Ebina,2007-03-03,2007-10-03,TED2007,198,1965139,58000
181,"Life at 30,000 feet",Richard Branson,2007-03-03,2007-10-09,TED2007,1778,1975395,59000
165,"Building ""self-aware"" robots",Hod Lipson,2007-03-06,2007-10-11,TED2007,364,1524196,45000
182,The illustrated woman,Maira Kalman,2007-03-03,2007-10-16,TED2007,1036,851377,25000
190,The anthropology of mobile phones,Jan Chipchase,2007-03-03,2007-10-18,TED2007,949,836234,25000
184,3 clues to understanding your brain,VS Ramachandran,2007-03-03,2007-10-21,TED2007,1400,5496455,164000
185,A commodities exchange for Ethiopia,Eleni Gabre-Madhin,2007-06-06,2007-10-25,TEDGlobal 2007,1220,827885,24000
189,How electroshock therapy changed me,Sherwin Nuland,2001-02-02,2007-10-30,TED2001,1324,2279842,68000
191,The habits of happiness,Matthieu Ricard,2004-02-02,2007-11-01,TED2004,1240,10325421,309000
187,Laws that choke creativity,Lawrence Lessig,2007-03-03,2007-11-06,TED2007,1122,2465377,73000
183,Playing with DNA that self-assembles,Paul Rothemund,2007-03-03,2007-11-08,TED2007,286,492087,14000
192,A critical look at geoengineering against climate change,David Keith,2007-09-09,2007-11-13,TEDSalon 2007 Hot Science,939,1504211,45000
193,Using biology to rethink the energy challenge,Juan Enriquez,2007-09-09,2007-11-15,TEDSalon 2007 Hot Science,1071,1518136,45000
177,The case for optimism,Larry Brilliant,2007-01-01,2007-11-21,Skoll World Forum 2007,1239,560095,16000
195,The sticky wonder of gecko feet,Robert Full,2005-02-02,2007-11-27,TED2005,1151,949690,28000
198,The fractals at the heart of African designs,Ron Eglash,2007-06-06,2007-11-29,TEDGlobal 2007,997,1832599,54000
197,Design and destiny,Philippe Starck,2007-03-03,2007-12-04,TED2007,1014,2404035,72000
194,"Beauty, truth and ... physics?",Murray Gell-Mann,2007-03-03,2007-12-06,TED2007,948,1503269,45000
51,Winning the oil endgame,Amory Lovins,2005-02-02,2007-12-11,TED2005,1164,1076537,32000
199,"A performance of ""Mathemagic""",Arthur Benjamin,2005-02-02,2007-12-13,TED2005,901,10017711,300000
200,Why aren't we more compassionate?,Daniel Goleman,2007-03-03,2007-12-18,TED2007,780,2699905,80000
201,The lost art of letter-writing,Lakshmi Pratury,2007-03-03,2007-12-20,TED2007,235,814960,24000
202,5 dangerous things you should let your kids do,Gever Tulley,2007-03-03,2007-12-21,TED2007,545,5435765,163000
204,Tales of passion,Isabel Allende,2007-03-03,2008-01-03,TED2007,1062,5272620,158000
203,We're worried about local warming ... in your lap,Yossi Vardi,2007-03-07,2008-01-04,TED2007,361,1103067,33000
145,The emergent genius of ant colonies,Deborah Gordon,2003-02-02,2008-01-08,TED2003,1211,1249938,37000
205,The mystery box,J.J. Abrams,2007-03-03,2008-01-10,TED2007,1068,4361508,130000
206,Underwater astonishments,David Gallo,2007-03-03,2008-01-11,TED2007,308,16419294,492000
207,Treat design as art,Paola Antonelli,2007-03-03,2008-01-15,TED2007,1077,708783,21000
13,"A master architect asks, Now what?",Frank Gehry,2002-02-28,2008-01-17,TED2002,1307,1116635,33000
188,"""Tembererana""",Raul Midon,2007-03-03,2008-01-18,TED2007,626,553263,16000
209,"Rebuilding a neighborhood with beauty, dignity, hope",Bill Strickland,2002-02-02,2008-01-20,TED2002,2114,767401,23000
208,The life-long learner,Bernie Dunlap,2007-03-03,2008-01-23,TED2007,1128,2245973,67000
196,The music wars,David Pogue,2007-03-03,2008-01-24,TED2007,238,693067,20000
210,An unusual glimpse at celebrity,Alison Jackson,2005-07-07,2008-01-28,TEDGlobal 2005,1043,748462,22000
211,TED's nonprofit transition,Chris Anderson,2002-02-02,2008-01-30,TED2002,755,391971,11000
212,The idea behind Zipcar (and what comes next),Robin Chase,2007-03-03,2008-01-31,TED2007,805,547892,16000
213,A song of the city,Jaime Lerner,2007-03-03,2008-02-04,TED2007,923,791070,23000
215,An illustrated journey through Rome,David Macaulay,2002-02-02,2008-02-06,TED2002,1280,787682,23000
214,A plant's-eye view,Michael Pollan,2007-03-03,2008-02-07,TED2007,1032,1898020,56000
216,The new power of collaboration,Howard Rheingold,2005-02-02,2008-02-11,TED2005,1157,1315631,39000
218,The untouchable music of the theremin,Pamelia Kurstin,2002-02-02,2008-02-13,TED2002,1137,2262119,67000
221,The story of Project Orion,George Dyson,2002-02-02,2008-02-14,TED2002,498,866392,25000
219,Building uniqueness,Moshe Safdie,2002-03-03,2008-02-18,TED2002,1047,638504,19000
222,The Jill and Julia Show,Jill Sobule + Julia Sweeney,2007-03-03,2008-02-20,TED2007,361,555611,16000
223,Juggle and jest,Raspyni Brothers,2002-02-02,2008-02-22,TED2002,914,867591,26000
220,A parable for Kenya,Joseph Lekuton,2007-06-06,2008-02-25,TEDGlobal 2007,307,240125,7200
224,A preview of the WorldWide Telescope,Roy Gould + Curtis Wong,2008-02-27,2008-02-27,TED2008,388,1155041,34000
225,Model rocketry,Steve Jurvetson,2007-03-03,2008-02-27,TED2007,182,469236,14000
228,A powerful idea about ideas,Alan Kay,2007-03-03,2008-03-04,TED2007,1217,878728,26000
227,On the verge of creating synthetic life,Craig Venter,2008-02-28,2008-03-06,TED2008,934,1232055,36000
230,"5 predictions, from 1984",Nicholas Negroponte,1984-02-02,2008-03-11,TED1984,1509,1119188,33000
229,My stroke of insight,Jill Bolte Taylor,2008-02-27,2008-03-12,TED2008,1104,28566951,857000
231,My days as a young rebel,Frank Gehry,1990-03-03,2008-03-13,TED1990,2658,728017,21000
233,My wish: Once Upon a School,Dave Eggers,2008-02-28,2008-03-18,TED2008,1455,1744149,52000
234,My wish: The Charter for Compassion,Karen Armstrong,2008-02-28,2008-03-19,TED2008,1273,2033992,61000
232,My wish: Find the next Einstein in Africa,Neil Turok,2008-02-28,2008-03-20,TED2008,1470,638011,19000
174,My green agenda for architecture,Norman Foster,2007-01-01,2008-03-24,DLD 2007,1903,902109,27000
236,A look inside the brain in real time,Christopher deCharms,2008-02-29,2008-03-24,TED2008,223,2091165,62000
237,The call to learn,Clifford Stoll,2006-02-28,2008-03-26,TED2006,1057,3341159,100000
186,"""M'Bifo""",Rokia Traore,2007-06-06,2008-03-27,TEDGlobal 2007,406,320083,9600
235,The search for the true face of Leonardo,Siegfried Woldhek,2008-02-29,2008-04-01,TED2008,244,1382386,41000
239,Sputnik mania,David Hoffman,2007-03-03,2008-04-02,TED2007,210,410993,12000
241,A new kind of music video,Jakob Trollback,2007-03-03,2008-04-03,TED2007,220,552562,16000
242,Questioning the universe,Stephen Hawking,2008-02-27,2008-04-04,TED2008,598,13474628,404000
243,New thinking on the climate crisis,Al Gore,2008-03-03,2008-04-08,TED2008,1654,2306641,69000
245,Free or cheap Wii Remote hacks,Johnny Lee,2008-02-28,2008-04-11,TED2008,320,7020956,210000
246,Inventing instruments that unlock new music,Tod Machover + Dan Ellsey,2008-03-03,2008-04-15,TED2008,1221,611654,18000
247,The new open-source economics,Yochai Benkler,2005-07-07,2008-04-16,TEDGlobal 2005,1059,935798,28000
249,World-class health care,Ernest Madu,2007-06-06,2008-04-17,TEDGlobal 2007,990,449942,13000
251,Making sense of string theory,Brian Greene,2005-02-02,2008-04-22,TED2005,1132,6502411,195000
250,Where does creativity hide?,Amy Tan,2008-02-02,2008-04-22,TED2008,1352,3593519,107000
254,Wake up! It's They Might Be Giants!,They Might Be Giants,2007-03-03,2008-04-29,TED2007,1021,451931,13000
253,CERN's supercollider,Brian Cox,2008-03-03,2008-04-29,TED2008,879,4327524,129000
255,The thinking behind 50x15,Hector Ruiz,2007-06-06,2008-05-01,TEDGlobal 2007,1177,351575,10000
258,6 ways mushrooms can save the world,Paul Stamets,2008-03-03,2008-05-06,TED2008,1044,8282051,248000
259,Can we domesticate germs?,Paul Ewald,2007-03-03,2008-05-07,TED2007,1052,663373,19000
260,Juggling as art ... and science,Michael Moschen,2002-03-03,2008-05-08,TED2002,2202,1107976,33000
261,A thought experiment on the intelligence of crows,Joshua Klein,2008-03-03,2008-05-13,TED2008,586,2750291,82000
248,How the news distorts our worldview,Alisa Miller,2008-03-03,2008-05-14,TED2008,249,2315262,69000
263,What's wrong with what we eat,Mark Bittman,2007-12-12,2008-05-15,EG 2007,1186,5013644,150000
264,The astonishing hidden world of the deep ocean,Robert Ballard,2008-02-29,2008-05-20,TED2008,1079,1762274,52000
266,Designing objects that tell stories,Yves Béhar,2008-02-29,2008-05-21,TED2008,1049,1345695,40000
267,Moving sculpture,Arthur Ganson,2004-03-03,2008-05-27,TED2004,924,1025663,30000
268,A hospital tour in Nigeria,Seyi Oyesola,2007-06-06,2008-05-27,TEDGlobal 2007,849,279364,8300
270,"The ""bottom billion""",Paul Collier,2008-03-03,2008-05-28,TED2008,995,1658249,49000
269,"Memes and ""temes""",Susan Blackmore,2008-02-29,2008-06-03,TED2008,1154,940170,28000
271,"Archaeology, animal photography, BBQ ...",Nathan Myhrvold,2007-03-03,2008-06-04,TED2007,1020,640628,19000
265,"""Kounandi""",Rokia Traore,2007-06-06,2008-06-05,TEDGlobal 2007,373,102034,3000
273,The worldwide web of belief and ritual,Wade Davis,2008-02-02,2008-06-10,TED2008,1138,2215053,66000
276,The ancestor of language,Murray Gell-Mann,2007-03-03,2008-06-11,TED2007,121,1041961,31000
279,Turning powerful stats into art,Chris Jordan,2008-02-02,2008-06-15,TED2008,660,2072020,62000
278,The birth of the computer,George Dyson,2003-03-03,2008-06-15,TED2003,1025,1021005,30000
252,Your genes are not your fate,Dean Ornish,2008-03-03,2008-06-16,TED2008,177,1884859,56000
280,Robots inspired by cockroach ingenuity,Robert Full,2002-02-02,2008-06-19,TED2002,1202,1161375,34000
285,A mobile fridge for vaccines,Adam Grosser,2007-02-02,2008-06-23,TED2007,197,992543,29000
30,Surprising stats about child carseats,Steven Levitt,2005-07-12,2008-06-24,TEDGlobal 2005,1124,1076334,32000
286,The transformative power of classical music,Benjamin Zander,2008-02-02,2008-06-25,TED2008,1213,15854804,475000
288,"One Laptop per Child, two years on",Nicholas Negroponte,2007-12-12,2008-06-26,EG 2007,979,487689,14000
287,"""Clonie""",Nellie McKay,2008-02-29,2008-06-27,TED2008,120,877559,26000
290,"A performance with breath, music, passion",Sxip Shirey + Rachelle Garniez,2008-02-12,2008-06-30,TED2008,167,239383,7100
292,Stephen Hawking's zero g flight,Peter Diamandis,2008-02-02,2008-06-30,TED2008,227,584003,17000
297,The story of a girl,Rick Smolan,2007-12-12,2008-07-02,EG 2007,1485,1420603,42000
298,"""Peace on Earth""",Raul Midon,2007-03-03,2008-07-03,TED2007,545,404023,12000
299,A hero of the Congo forest,Corneille Ewango,2007-06-06,2008-07-07,TEDGlobal 2007,1084,524696,15000
300,Animate characters by evolving them,Torsten Reil,2003-03-03,2008-07-08,TED2003,1086,370773,11000
282,What happens when you lose everything,David Hoffman,2008-02-02,2008-07-09,TED2008,227,1274043,38000
274,Institutions vs. collaboration,Clay Shirky,2005-07-01,2008-07-10,TEDGlobal 2005,1232,1412327,42000
296,"""Mother of Pearl,"" ""If I Had You""",Nellie McKay,2008-02-02,2008-07-11,TED2008,320,1443677,43000
306,Let's look for life in the outer solar system,Freeman Dyson,2003-02-02,2008-07-14,TED2003,1131,1161415,34000
307,The brain in love,Helen Fisher,2008-02-02,2008-07-15,TED2008,936,7228654,216000
308,On technology and faith,Billy Graham,1998-02-02,2008-07-16,TED1998,1566,4167824,125000
301,My year of living biblically,A.J. Jacobs,2007-12-02,2008-07-17,EG 2007,1038,3024013,90000
310,Brain magic,Keith Barry,2004-02-02,2008-07-18,TED2004,1175,18711323,561000
312,The new era of positive psychology,Martin Seligman,2004-02-02,2008-07-21,TED2004,1408,6856964,205000
313,The wonder of Zulu wire art,Marisa Fick-Jordan,2007-06-06,2008-07-21,TEDGlobal 2007,140,344195,10000
294,On humanity,Chris Abani,2008-02-02,2008-07-22,TED2008,954,992211,29000
315,A dig for humanity's origins,Louise Leakey,2008-02-02,2008-07-23,TED2008,916,904861,27000
316,The web as art,Jonathan Harris,2007-12-12,2008-07-24,TED2007,1208,925120,27000
319,"The next 5,000 days of the web",Kevin Kelly,2007-12-12,2008-07-28,EG 2007,1152,1879009,56000
318,A tour of modern architecture,Reed Kroloff,2003-02-02,2008-07-28,TED2003,908,330655,9900
321,The math and magic of origami,Robert Lang,2008-02-02,2008-07-30,TED2008,939,2860768,85000
